countryOrRegion,holidayName,normalizeHolidayName,isPaidTimeOff,countryRegionCode,date
United Kingdom,New Year's Day,New Year's Day,True,GB,2008-01-01
United Kingdom,New Year Holiday [Scotland],New Year Holiday,True,GB,2008-01-02
United Kingdom,St. Patrick's Day [Northern Ireland],St. Patrick's Day,False,GB,2008-03-17
United Kingdom,Good Friday,Good Friday,True,GB,2008-03-21
United Kingdom,"Easter Monday [England, Wales, Northern Ireland]",Easter Monday,True,GB,2008-03-24
United Kingdom,May Day,May Day,True,GB,2008-05-05
United Kingdom,Spring Bank Holiday,Spring Bank Holiday,True,GB,2008-05-26
United Kingdom,Battle of the Boyne [Northern Ireland],Battle of the Boyne,False,GB,2008-07-12
United Kingdom,Summer Bank Holiday [Scotland],Summer Bank Holiday,False,GB,2008-08-04
United Kingdom,"Late Summer Bank Holiday [England, Wales, Northern Ireland]",Late Summer Bank Holiday,True,GB,2008-08-25
India,Gandhi Birthday,Gandhi Birthday,False,GB,2008-10-02
United Kingdom,St. Andrew's Day [Scotland],St. Andrew's Day,False,GB,2008-11-30
United Kingdom,Christmas Day,Christmas Day,True,GB,2008-12-25
United Kingdom,Boxing Day,Boxing Day,True,GB,2008-12-26
United Kingdom,New Year's Day,New Year's Day,True,GB,2009-01-01
United Kingdom,New Year Holiday [Scotland],New Year Holiday,True,GB,2009-01-02
United Kingdom,St. Patrick's Day [Northern Ireland],St. Patrick's Day,False,GB,2009-03-17
United Kingdom,Good Friday,Good Friday,True,GB,2009-04-10
United Kingdom,"Easter Monday [England, Wales, Northern Ireland]",Easter Monday,True,GB,2009-04-13
United Kingdom,May Day,May Day,True,GB,2009-05-04
United Kingdom,Spring Bank Holiday,Spring Bank Holiday,True,GB,2009-05-25
United Kingdom,Battle of the Boyne [Northern Ireland],Battle of the Boyne,False,GB,2009-07-12
United Kingdom,Summer Bank Holiday [Scotland],Summer Bank Holiday,False,GB,2009-08-03
United Kingdom,"Late Summer Bank Holiday [England, Wales, Northern Ireland]",Late Summer Bank Holiday,True,GB,2009-08-31
India,Gandhi Birthday,Gandhi Birthday,False,GB,2009-10-02
United Kingdom,St. Andrew's Day [Scotland],St. Andrew's Day,False,GB,2009-11-30
United Kingdom,Christmas Day,Christmas Day,True,GB,2009-12-25
United Kingdom,Boxing Day,Boxing Day,True,GB,2009-12-26
United Kingdom,Boxing Day (Observed),Boxing Day,True,GB,2009-12-28
United Kingdom,New Year's Day,New Year's Day,True,GB,2010-01-01
United Kingdom,New Year Holiday [Scotland],New Year Holiday,True,GB,2010-01-02
United Kingdom,New Year Holiday [Scotland] (Observed),New Year Holiday,True,GB,2010-01-04
United Kingdom,St. Patrick's Day [Northern Ireland],St. Patrick's Day,False,GB,2010-03-17
United Kingdom,Good Friday,Good Friday,True,GB,2010-04-02
United Kingdom,"Easter Monday [England, Wales, Northern Ireland]",Easter Monday,True,GB,2010-04-05
United Kingdom,May Day,May Day,True,GB,2010-05-03
